
2025/04/01 (16:48:10) | ===> btop++ v.1.4.0
2025/04/01 (16:48:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/01 (16:48:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/01 (16:48:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (16:46:49) | ===> btop++ v.1.4.0
2025/04/03 (16:46:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (16:46:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/03 (16:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (16:32:04) | ===> btop++ v.1.4.0
2025/04/06 (16:32:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (16:32:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/06 (16:32:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (16:49:24) | ===> btop++ v.1.4.0
2025/04/09 (16:49:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/09 (16:49:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/09 (16:49:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/09 (16:49:26) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (17:43:12) | ===> btop++ v.1.4.0
2025/04/15 (17:43:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/15 (17:43:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/15 (17:43:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (21:24:51) | ===> btop++ v.1.4.0
2025/04/18 (21:24:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/18 (21:24:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/18 (21:24:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (22:33:30) | ===> btop++ v.1.4.0
2025/04/23 (22:33:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (22:33:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/23 (22:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (21:42:25) | ===> btop++ v.1.4.0
2025/04/25 (21:42:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (21:42:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/25 (21:42:25) | WARNING: Intel GPU: Failed to initialize PMU
